"Time (ms, ms) - Channel 1",Voltage (V) - Channel 1,"Time (ms, ms) - Channel 2",Voltage (V) - Channel 2
0,0,0,0
0.0002,0,0.0002,0
0.0004,0,0.0004,0
0.0006,0,0.0006,0
0.0008,0.08,0.0008,0
0.001,-0.08,0.001,0.08
0.0012,-0.08,0.0012,0.08
0.0014,0,0.0014,0.08
0.0016,0,0.0016,-0.08
0.0018,0.08,0.0018,0
0.002,0,0.002,0
0.0022,0,0.0022,0
0.0024,-0.08,0.0024,0
0.0026,0.08,0.0026,0.08
0.0028,0,0.0028,0.08
0.003,-0.08,0.003,0
0.0032,0,0.0032,0
0.0034,0.08,0.0034,0
0.0036,0,0.0036,-0.08
0.0038,0,0.0038,0
0.004,0,0.004,0
0.0042,0,0.0042,0
0.0044,0,0.0044,0
0.0046,-0.08,0.0046,0
0.0048,-0.08,0.0048,0
0.005,-0.08,0.005,0
0.0052,-0.16,0.0052,0
0.0054,0,0.0054,0.08
0.0056,-0.08,0.0056,0
0.0058,0,0.0058,-0.08
0.006,0,0.006,0
0.0062,0,0.0062,0
0.0064,0,0.0064,0
0.0066,0,0.0066,0.08
0.0068,-0.08,0.0068,0
0.007,0,0.007,0
0.0072,0,0.0072,0
0.0074,-0.08,0.0074,0
0.0076,0,0.0076,0
0.0078,0,0.0078,0
0.008,-0.08,0.008,0
0.0082,0,0.0082,0
0.0084,0,0.0084,0
0.0086,0,0.0086,0
0.0088,0,0.0088,0
0.009,0,0.009,0
0.0092,-0.08,0.0092,0
0.0094,-0.08,0.0094,0.08
0.0096,0,0.0096,0
0.0098,0,0.0098,0
0.01,0,0.01,0
0.0102,0,0.0102,0.08
0.0104,0,0.0104,0
0.0106,-0.08,0.0106,-0.08
0.0108,0,0.0108,0
0.011,0.08,0.011,0
0.0112,-0.08,0.0112,0
0.0114,0.08,0.0114,0
0.0116,0,0.0116,0.08
0.0118,0,0.0118,0.08
0.012,0,0.012,0.08
0.0122,0,0.0122,0
0.0124,-0.16,0.0124,0
0.0126,0,0.0126,0
0.0128,0,0.0128,0
0.013,0,0.013,0
0.0132,0,0.0132,-0.08
0.0134,0,0.0134,0
0.0136,0,0.0136,0.08
0.0138,0,0.0138,0
0.014,-0.08,0.014,0.08
0.0142,0,0.0142,-0.08
0.0144,0,0.0144,0
0.0146,-0.08,0.0146,0
0.0148,0,0.0148,0
0.015,0,0.015,0
0.0152,0,0.0152,0.08
0.0154,0,0.0154,0
0.0156,0,0.0156,0.08
0.0158,0,0.0158,0
0.016,0,0.016,0
0.0162,-0.08,0.0162,0
0.0164,-0.08,0.0164,0
0.0166,0,0.0166,0
0.0168,-0.08,0.0168,0
0.017,0,0.017,0
0.0172,0,0.0172,0
0.0174,-0.08,0.0174,0
0.0176,-0.08,0.0176,0
0.0178,-0.08,0.0178,0
0.018,0,0.018,0
0.0182,-0.08,0.0182,0
0.0184,0,0.0184,0
0.0186,0,0.0186,0
0.0188,0,0.0188,0
0.019,0,0.019,0
0.0192,0.08,0.0192,0.08
0.0194,0,0.0194,0
0.0196,-0.08,0.0196,0
0.0198,0,0.0198,0
0.02,0,0.02,0
0.0202,0,0.0202,0
0.0204,0,0.0204,0
0.0206,0,0.0206,0
0.0208,0,0.0208,0
0.021,-0.08,0.021,-0.08
0.0212,0,0.0212,-0.08
0.0214,-0.08,0.0214,0
0.0216,0,0.0216,0.08
0.0218,0,0.0218,0
0.022,0,0.022,0.08
0.0222,-0.08,0.0222,0.08
0.0224,0,0.0224,0
0.0226,0,0.0226,-0.08
0.0228,-0.08,0.0228,-0.08
0.023,0,0.023,0
0.0232,0,0.0232,0
0.0234,0,0.0234,-0.08
0.0236,-0.08,0.0236,0.08
0.0238,-0.08,0.0238,0
0.024,0.08,0.024,-0.08
0.0242,0,0.0242,-0.08
0.0244,0,0.0244,-0.08
0.0246,0,0.0246,0
0.0248,-0.08,0.0248,0
0.025,0,0.025,0
0.0252,-0.08,0.0252,0.08
0.0254,0,0.0254,0
0.0256,0,0.0256,0
0.0258,0.08,0.0258,0
0.026,0,0.026,0.08
0.0262,0,0.0262,0
0.0264,0,0.0264,0
0.0266,0,0.0266,0
0.0268,0,0.0268,0
0.027,-0.08,0.027,0
0.0272,-0.08,0.0272,0
0.0274,-0.08,0.0274,0
0.0276,0,0.0276,0.08
0.0278,-0.08,0.0278,-0.08
0.028,-0.08,0.028,0
0.0282,-0.08,0.0282,0
0.0284,0,0.0284,0
0.0286,-0.08,0.0286,0
0.0288,0,0.0288,-0.08
0.029,-0.08,0.029,0
0.0292,0,0.0292,0
0.0294,0,0.0294,0
0.0296,0,0.0296,0
0.0298,0,0.0298,0
0.03,0,0.03,0
0.0302,-0.08,0.0302,-0.08
0.0304,0,0.0304,-0.08
0.0306,0,0.0306,-0.08
0.0308,0.08,0.0308,0
0.031,0,0.031,0
0.0312,0.08,0.0312,-0.08
0.0314,-0.08,0.0314,0
0.0316,-0.08,0.0316,-0.08
0.0318,-0.08,0.0318,0
0.032,0,0.032,0.08
0.0322,-0.08,0.0322,0.08
0.0324,-0.08,0.0324,0
0.0326,-0.08,0.0326,0
0.0328,0,0.0328,0
0.033,0,0.033,0.08
0.0332,-0.08,0.0332,0.08
0.0334,0,0.0334,0
0.0336,0,0.0336,0
0.0338,-0.08,0.0338,0
0.034,-0.08,0.034,0
0.0342,0,0.0342,0
0.0344,0,0.0344,0
0.0346,0,0.0346,0
0.0348,-0.08,0.0348,0
0.035,0,0.035,0.08
0.0352,-0.08,0.0352,0
0.0354,0,0.0354,0.08
0.0356,0,0.0356,0.08
0.0358,0,0.0358,0
0.036,0,0.036,0
0.0362,0,0.0362,0
0.0364,0,0.0364,0.08
0.0366,0.08,0.0366,0
0.0368,-0.08,0.0368,0
0.037,-0.08,0.037,0
0.0372,0,0.0372,0
0.0374,0,0.0374,0
0.0376,-0.08,0.0376,0
0.0378,0.08,0.0378,0
0.038,0,0.038,0
0.0382,0,0.0382,0
0.0384,0,0.0384,0
0.0386,-0.08,0.0386,0
0.0388,-0.08,0.0388,0
0.039,-0.08,0.039,0.08
