t_in,v_in,t_out,v_out
1.224,0.008,1.224,0.08
1.225,0.008,1.225,0
1.226,0.008,1.226,0
1.227,0.008,1.227,0
1.228,0.008,1.228,0
1.229,0.008,1.229,0.08
1.23,0.008,1.23,0
1.231,0.008,1.231,0
1.232,0.008,1.232,0
1.233,0.008,1.233,0
1.234,0.008,1.234,0
1.235,0.008,1.235,0
1.236,0.008,1.236,0
1.237,0.008,1.237,0
1.238,0.008,1.238,0
1.239,0.008,1.239,0
1.24,0.008,1.24,0
1.241,0.008,1.241,0.08
1.242,0.008,1.242,0
1.243,0.008,1.243,0
1.244,0.008,1.244,0
1.245,0.008,1.245,0
1.246,0.008,1.246,0
1.247,0.008,1.247,0
1.248,0.008,1.248,0
1.249,0.008,1.249,0
1.25,0.272,1.25,0.16
1.251,0.272,1.251,0.4
1.252,0.272,1.252,0.64
1.253,0.272,1.253,0.88
1.254,0.272,1.254,1.12
1.255,0.272,1.255,1.28
1.256,0.272,1.256,1.52
1.257,0.272,1.257,1.68
1.258,0.272,1.258,1.84
1.259,0.272,1.259,2.08
1.26,0.272,1.26,2.08
1.261,0.008,1.261,2
1.262,0.008,1.262,1.92
1.263,0.008,1.263,1.84
1.264,0.008,1.264,1.76
1.265,0.008,1.265,1.68
1.266,0.008,1.266,1.6
1.267,0.008,1.267,1.52
1.268,0.008,1.268,1.44
1.269,0.008,1.269,1.36
1.27,0.008,1.27,1.28
1.271,0,1.271,1.28
1.272,0.008,1.272,1.2
1.273,0.008,1.273,1.2
1.274,0.008,1.274,1.04
1.275,0.008,1.275,1.04
1.276,0.008,1.276,0.96
1.277,0.008,1.277,0.96
1.278,0.008,1.278,0.88
1.279,0.008,1.279,0.88
1.28,0.008,1.28,0.8
1.281,0.008,1.281,0.8
1.282,0.008,1.282,0.72
1.283,0.008,1.283,0.64
1.284,0.008,1.284,0.64
1.285,0.008,1.285,0.64
1.286,0.008,1.286,0.56
1.287,0.008,1.287,0.56
1.288,0.008,1.288,0.48
1.289,0.008,1.289,0.56
1.29,0.008,1.29,0.56
1.291,0.008,1.291,0.48
1.292,0.008,1.292,0.48
1.293,0.008,1.293,0.48
1.294,0.008,1.294,0.4
1.295,0.008,1.295,0.32
1.296,0.008,1.296,0.4
1.297,0.008,1.297,0.4
1.298,0.008,1.298,0.32
1.299,0.008,1.299,0.32
1.3,0.008,1.3,0.32
1.301,0.008,1.301,0.24
1.302,0,1.302,0.32
1.303,0.008,1.303,0.32
1.304,0.008,1.304,0.24
1.305,0.008,1.305,0.24
1.306,0.008,1.306,0.24
1.307,0,1.307,0.24
1.308,0.008,1.308,0.24
1.309,0.008,1.309,0.24
1.31,0.008,1.31,0.16
1.311,0.008,1.311,0.16
1.312,0.008,1.312,0.24
1.313,0.008,1.313,0.16
1.314,0.008,1.314,0.16
1.315,0.008,1.315,0.16
1.316,0.008,1.316,0.16
1.317,0.008,1.317,0.16
1.318,0.008,1.318,0.16
1.319,0.008,1.319,0.16
1.32,0.008,1.32,0.08
1.321,0.008,1.321,0.16
1.322,0.008,1.322,0.08
1.323,0.008,1.323,0.08
1.324,0,1.324,0.08
1.325,0.008,1.325,0.08
1.326,0.008,1.326,0.08
1.327,0.008,1.327,0.08
1.328,0.008,1.328,0.08
1.329,0.008,1.329,0.08
1.33,0.008,1.33,0.08
1.331,0.008,1.331,0.08
1.332,0.008,1.332,0.08
1.333,0.008,1.333,0.08
1.334,0.008,1.334,0.08
1.335,0.008,1.335,0.08
1.336,0.008,1.336,0.08
1.337,0.008,1.337,0.08
1.338,0.008,1.338,0.08
1.339,0.008,1.339,0.08
1.34,0.008,1.34,0.08
1.341,0.008,1.341,0.08
1.342,0.008,1.342,0.08
1.343,0,1.343,0.08
1.344,0.008,1.344,0
1.345,0.008,1.345,0.08
1.346,0.008,1.346,0
1.347,0,1.347,0.08
1.348,0.008,1.348,0.08
1.349,0.008,1.349,0
1.35,0.008,1.35,0.08
1.351,0.008,1.351,0
1.352,0.008,1.352,0
1.353,0.008,1.353,0.08
1.354,0.008,1.354,0
1.355,0.008,1.355,0
1.356,0.008,1.356,0
1.357,0.008,1.357,0
1.358,0.008,1.358,0.08
1.359,0.008,1.359,0.08
1.36,0.008,1.36,0
1.361,0.008,1.361,0
1.362,0.008,1.362,0
1.363,0.008,1.363,0.08
1.364,0.008,1.364,0.08
1.365,0.008,1.365,0
1.366,0.008,1.366,0
1.367,0.008,1.367,0.08
1.368,0.008,1.368,0
1.369,0.008,1.369,0
1.37,0.008,1.37,0.08
1.371,0.008,1.371,0
1.372,0.008,1.372,0
1.373,0.008,1.373,0
1.374,0.008,1.374,0
1.375,0.008,1.375,0.08
1.376,0.008,1.376,0
1.377,0.008,1.377,0
1.378,0.008,1.378,0
1.379,0.008,1.379,0
1.38,0.008,1.38,0
1.381,0.008,1.381,0
1.382,0.008,1.382,0
1.383,0.008,1.383,0.08
1.384,0.008,1.384,0.08
1.385,0.008,1.385,0
1.386,0.008,1.386,0
1.387,0.008,1.387,0
1.388,0.008,1.388,0
1.389,0.008,1.389,0.08
1.39,0.008,1.39,0
1.391,0.008,1.391,0
1.392,0.008,1.392,0.08
1.393,0.008,1.393,0
1.394,0.008,1.394,0
1.395,0.008,1.395,0
1.396,0.008,1.396,0
1.397,0.008,1.397,0
1.398,0.008,1.398,0
1.399,0.008,1.399,0.08
1.4,0.008,1.4,0
1.401,0.008,1.401,0.08
1.402,0.008,1.402,0
1.403,0.008,1.403,0
1.404,0.008,1.404,0.08
1.405,0.008,1.405,0
1.406,0.008,1.406,0
1.407,0.008,1.407,0
1.408,0.008,1.408,0
1.409,0.008,1.409,0
1.41,0.008,1.41,0
1.411,0.008,1.411,0
1.412,0.008,1.412,0
1.413,0.008,1.413,0
1.414,0.008,1.414,0
1.415,0.008,1.415,0
1.416,0.008,1.416,0
1.417,0.008,1.417,0
1.418,0.008,1.418,0
1.419,0.008,1.419,0
1.42,0.008,1.42,0
1.421,0.008,1.421,0
1.422,0.008,1.422,0
1.423,0.008,1.423,0
1.424,0.008,1.424,0
1.425,0.008,1.425,0
1.426,0.008,1.426,0
1.427,0.008,1.427,0
1.428,0.008,1.428,0.08
1.429,0.008,1.429,0
1.43,0.008,1.43,0.08
1.431,0.008,1.431,0
1.432,0.008,1.432,0
1.433,0.008,1.433,0
1.434,0.008,1.434,0
1.435,0.008,1.435,0
1.436,0.008,1.436,0
1.437,0.008,1.437,0
1.438,0.008,1.438,0
1.439,0.008,1.439,-0.08
1.44,0.008,1.44,0
1.441,0.008,1.441,0
1.442,0.008,1.442,0
1.443,0,1.443,0.08
1.444,0.008,1.444,0.08
1.445,0.008,1.445,0
1.446,0.008,1.446,0
1.447,0.008,1.447,0
1.448,0.008,1.448,0.08
1.449,0.008,1.449,0
1.45,0.008,1.45,0
1.451,0.008,1.451,0
1.452,0.008,1.452,0
1.453,0.008,1.453,0
1.454,0.008,1.454,0
1.455,0.008,1.455,0.08
1.456,0.008,1.456,0
1.457,0,1.457,0
1.458,0.008,1.458,0
1.459,0.008,1.459,0
1.46,0.008,1.46,0
1.461,0.008,1.461,0
1.462,0,1.462,0.08
1.463,0.008,1.463,0
1.464,0.008,1.464,0
1.465,0.008,1.465,0
1.466,0.008,1.466,0
1.467,0.008,1.467,0
1.468,0,1.468,0
1.469,0.008,1.469,0
1.47,0.008,1.47,0.08
1.471,0.008,1.471,0
1.472,0.008,1.472,0
1.473,0.008,1.473,0
1.474,0.008,1.474,0
1.475,0.008,1.475,0
1.476,0.008,1.476,0
1.477,0.008,1.477,0
1.478,0.008,1.478,0
1.479,0.008,1.479,0
1.48,0.008,1.48,0
1.481,0.008,1.481,0
1.482,0.008,1.482,0
1.483,0.008,1.483,0
1.484,0.008,1.484,0
1.485,0.008,1.485,0
1.486,0.008,1.486,0
1.487,0.008,1.487,0
1.488,0.008,1.488,0
1.489,0.008,1.489,0.08
1.49,0.008,1.49,0
1.491,0.008,1.491,0
1.492,0,1.492,0
1.493,0.008,1.493,0
1.494,0.008,1.494,0
1.495,0.008,1.495,0.08
1.496,0.008,1.496,0
1.497,0.008,1.497,0
1.498,0.008,1.498,0
1.499,0.008,1.499,0
1.5,0.008,1.5,0
1.501,0.008,1.501,0
1.502,0,1.502,0
1.503,0.008,1.503,0
1.504,0.008,1.504,0
1.505,0.008,1.505,0
1.506,0.008,1.506,0
1.507,0.008,1.507,0
1.508,0.008,1.508,0.08
1.509,0.008,1.509,0
1.51,0.008,1.51,0
1.511,0.008,1.511,0
1.512,0.008,1.512,0
1.513,0.008,1.513,0
1.514,0.008,1.514,0
1.515,0.008,1.515,0
1.516,0.008,1.516,0.08
1.517,0.008,1.517,0
1.518,0.008,1.518,0
1.519,0.008,1.519,0
1.52,0.008,1.52,0
1.521,0.008,1.521,0
1.522,0.008,1.522,0
1.523,0.008,1.523,0.08
1.524,0.008,1.524,0
1.525,0.008,1.525,0
1.526,0.008,1.526,0
1.527,0.008,1.527,0
1.528,0.008,1.528,0.08
1.529,0.008,1.529,0
1.53,0.008,1.53,0
1.531,0.008,1.531,0
1.532,0.008,1.532,0
1.533,0.008,1.533,0
1.534,0.008,1.534,0
