Time - Plot 0,Amplitude - Plot 0,Time - Plot 1,Amplitude - Plot 1
0,-0.006,0,-0.02
4.00E-08,-0.004,4.00E-08,-0.024
8.00E-08,-0.006,8.00E-08,-0.02
1.20E-07,-0.006,1.20E-07,-0.028
1.60E-07,-0.008,1.60E-07,-0.02
2.00E-07,-0.008,2.00E-07,-0.024
2.40E-07,-0.004,2.40E-07,-0.028
2.80E-07,-0.004,2.80E-07,-0.024
3.20E-07,-0.01,3.20E-07,-0.028
3.60E-07,-0.008,3.60E-07,-0.032
4.00E-07,-0.006,4.00E-07,-0.028
4.40E-07,-0.008,4.40E-07,-0.028
4.80E-07,-0.008,4.80E-07,-0.032
5.20E-07,-0.012,5.20E-07,-0.032
5.60E-07,-0.01,5.60E-07,-0.036
6.00E-07,-0.006,6.00E-07,-0.036
6.40E-07,-0.012,6.40E-07,-0.036
6.80E-07,-0.01,6.80E-07,-0.032
7.20E-07,-0.008,7.20E-07,-0.036
7.60E-07,-0.008,7.60E-07,-0.032
8.00E-07,-0.012,8.00E-07,-0.036
8.40E-07,-0.01,8.40E-07,-0.036
8.80E-07,-0.01,8.80E-07,-0.04
9.20E-07,-0.01,9.20E-07,-0.04
9.60E-07,-0.012,9.60E-07,-0.04
1.00E-06,-0.01,1.00E-06,-0.04
1.04E-06,-0.012,1.04E-06,-0.036
1.08E-06,-0.01,1.08E-06,-0.044
1.12E-06,-0.01,1.12E-06,-0.036
1.16E-06,-0.01,1.16E-06,-0.036
1.20E-06,-0.01,1.20E-06,-0.04
1.24E-06,-0.012,1.24E-06,-0.044
1.28E-06,-0.012,1.28E-06,-0.044
1.32E-06,-0.012,1.32E-06,-0.048
1.36E-06,-0.012,1.36E-06,-0.04
1.40E-06,-0.012,1.40E-06,-0.048
1.44E-06,-0.014,1.44E-06,-0.048
1.48E-06,-0.014,1.48E-06,-0.048
1.52E-06,-0.012,1.52E-06,-0.044
1.56E-06,-0.016,1.56E-06,-0.044
1.60E-06,-0.014,1.60E-06,-0.048
1.64E-06,-0.012,1.64E-06,-0.052
1.68E-06,-0.012,1.68E-06,-0.048
1.72E-06,-0.014,1.72E-06,-0.048
1.76E-06,-0.016,1.76E-06,-0.048
1.80E-06,-0.016,1.80E-06,-0.052
1.84E-06,-0.016,1.84E-06,-0.052
1.88E-06,-0.014,1.88E-06,-0.052
1.92E-06,-0.014,1.92E-06,-0.052
1.96E-06,-0.016,1.96E-06,-0.048
2.00E-06,-0.016,2.00E-06,-0.056
2.04E-06,-0.016,2.04E-06,-0.06
2.08E-06,-0.016,2.08E-06,-0.056
2.12E-06,-0.014,2.12E-06,-0.056
2.16E-06,-0.014,2.16E-06,-0.06
2.20E-06,-0.016,2.20E-06,-0.06
2.24E-06,-0.016,2.24E-06,-0.06
2.28E-06,-0.018,2.28E-06,-0.06
2.32E-06,-0.018,2.32E-06,-0.06
2.36E-06,-0.018,2.36E-06,-0.056
2.40E-06,-0.016,2.40E-06,-0.064
2.44E-06,-0.016,2.44E-06,-0.06
2.48E-06,-0.018,2.48E-06,-0.06
2.52E-06,-0.016,2.52E-06,-0.06
2.56E-06,-0.018,2.56E-06,-0.068
2.60E-06,-0.016,2.60E-06,-0.06
2.64E-06,-0.018,2.64E-06,-0.064
2.68E-06,-0.022,2.68E-06,-0.06
2.72E-06,-0.016,2.72E-06,-0.068
2.76E-06,-0.02,2.76E-06,-0.068
2.80E-06,-0.018,2.80E-06,-0.064
2.84E-06,-0.022,2.84E-06,-0.064
2.88E-06,-0.02,2.88E-06,-0.064
2.92E-06,-0.02,2.92E-06,-0.068
2.96E-06,-0.02,2.96E-06,-0.068
3.00E-06,-0.018,3.00E-06,-0.072
3.04E-06,-0.02,3.04E-06,-0.072
3.08E-06,-0.02,3.08E-06,-0.064
3.12E-06,-0.02,3.12E-06,-0.068
3.16E-06,-0.02,3.16E-06,-0.064
3.20E-06,-0.02,3.20E-06,-0.072
3.24E-06,-0.022,3.24E-06,-0.072
3.28E-06,-0.02,3.28E-06,-0.072
3.32E-06,-0.022,3.32E-06,-0.076
3.36E-06,-0.02,3.36E-06,-0.072
3.40E-06,-0.024,3.40E-06,-0.068
3.44E-06,-0.022,3.44E-06,-0.076
3.48E-06,-0.026,3.48E-06,-0.068
3.52E-06,-0.02,3.52E-06,-0.072
3.56E-06,-0.022,3.56E-06,-0.072
3.60E-06,-0.022,3.60E-06,-0.076
3.64E-06,-0.02,3.64E-06,-0.076
3.68E-06,-0.024,3.68E-06,-0.08
3.72E-06,-0.022,3.72E-06,-0.076
3.76E-06,-0.024,3.76E-06,-0.076
3.80E-06,-0.024,3.80E-06,-0.08
3.84E-06,-0.022,3.84E-06,-0.072
3.88E-06,-0.022,3.88E-06,-0.08
3.92E-06,-0.022,3.92E-06,-0.084
3.96E-06,-0.024,3.96E-06,-0.076
4.00E-06,-0.024,4.00E-06,-0.08
4.04E-06,-0.024,4.04E-06,-0.076
4.08E-06,-0.024,4.08E-06,-0.084
4.12E-06,-0.024,4.12E-06,-0.08
4.16E-06,-0.026,4.16E-06,-0.084
4.20E-06,-0.022,4.20E-06,-0.084
4.24E-06,-0.022,4.24E-06,-0.084
4.28E-06,-0.026,4.28E-06,-0.084
4.32E-06,-0.024,4.32E-06,-0.084
4.36E-06,-0.024,4.36E-06,-0.08
4.40E-06,-0.024,4.40E-06,-0.08
4.44E-06,-0.024,4.44E-06,-0.08
4.48E-06,-0.024,4.48E-06,-0.088
4.52E-06,-0.024,4.52E-06,-0.088
4.56E-06,-0.026,4.56E-06,-0.084
4.60E-06,-0.028,4.60E-06,-0.084
4.64E-06,-0.026,4.64E-06,-0.084
4.68E-06,-0.024,4.68E-06,-0.088
4.72E-06,-0.024,4.72E-06,-0.084
4.76E-06,-0.026,4.76E-06,-0.088
4.80E-06,-0.026,4.80E-06,-0.084
4.84E-06,-0.026,4.84E-06,-0.084
4.88E-06,-0.026,4.88E-06,-0.088
4.92E-06,-0.026,4.92E-06,-0.084
4.96E-06,-0.024,4.96E-06,-0.088
5.00E-06,-0.024,5.00E-06,-0.088
5.04E-06,-0.026,5.04E-06,-0.084
5.08E-06,-0.028,5.08E-06,-0.088
5.12E-06,-0.024,5.12E-06,-0.088
5.16E-06,-0.026,5.16E-06,-0.088
5.20E-06,-0.028,5.20E-06,-0.092
5.24E-06,-0.028,5.24E-06,-0.088
5.28E-06,-0.026,5.28E-06,-0.088
5.32E-06,-0.026,5.32E-06,-0.092
5.36E-06,-0.028,5.36E-06,-0.092
5.40E-06,-0.026,5.40E-06,-0.088
5.44E-06,-0.028,5.44E-06,-0.092
5.48E-06,-0.026,5.48E-06,-0.088
5.52E-06,-0.026,5.52E-06,-0.088
5.56E-06,-0.03,5.56E-06,-0.092
5.60E-06,-0.028,5.60E-06,-0.092
5.64E-06,-0.028,5.64E-06,-0.088
5.68E-06,-0.028,5.68E-06,-0.088
5.72E-06,-0.028,5.72E-06,-0.084
5.76E-06,-0.026,5.76E-06,-0.092
5.80E-06,-0.028,5.80E-06,-0.088
5.84E-06,-0.028,5.84E-06,-0.092
5.88E-06,-0.026,5.88E-06,-0.088
5.92E-06,-0.028,5.92E-06,-0.092
5.96E-06,-0.028,5.96E-06,-0.092
6.00E-06,-0.026,6.00E-06,-0.096
6.04E-06,-0.03,6.04E-06,-0.096
6.08E-06,-0.028,6.08E-06,-0.092
6.12E-06,-0.026,6.12E-06,-0.092
6.16E-06,-0.028,6.16E-06,-0.092
6.20E-06,-0.028,6.20E-06,-0.092
6.24E-06,-0.028,6.24E-06,-0.092
6.28E-06,-0.028,6.28E-06,-0.092
6.32E-06,-0.03,6.32E-06,-0.092
6.36E-06,-0.028,6.36E-06,-0.092
6.40E-06,-0.026,6.40E-06,-0.096
6.44E-06,-0.028,6.44E-06,-0.096
6.48E-06,-0.026,6.48E-06,-0.092
6.52E-06,-0.03,6.52E-06,-0.096
6.56E-06,-0.028,6.56E-06,-0.096
6.60E-06,-0.028,6.60E-06,-0.092
6.64E-06,-0.03,6.64E-06,-0.096
6.68E-06,-0.026,6.68E-06,-0.096
6.72E-06,-0.028,6.72E-06,-0.096
6.76E-06,-0.028,6.76E-06,-0.096
6.80E-06,-0.028,6.80E-06,-0.096
6.84E-06,-0.028,6.84E-06,-0.092
6.88E-06,-0.026,6.88E-06,-0.092
6.92E-06,-0.026,6.92E-06,-0.096
6.96E-06,-0.026,6.96E-06,-0.092
7.00E-06,-0.026,7.00E-06,-0.1
7.04E-06,-0.028,7.04E-06,-0.092
7.08E-06,-0.03,7.08E-06,-0.092
7.12E-06,-0.028,7.12E-06,-0.092
7.16E-06,-0.028,7.16E-06,-0.092
7.20E-06,-0.026,7.20E-06,-0.096
7.24E-06,-0.028,7.24E-06,-0.096
7.28E-06,-0.026,7.28E-06,-0.096
7.32E-06,-0.026,7.32E-06,-0.092
7.36E-06,-0.026,7.36E-06,-0.092
7.40E-06,-0.028,7.40E-06,-0.092
7.44E-06,-0.028,7.44E-06,-0.096
7.48E-06,-0.026,7.48E-06,-0.092
7.52E-06,-0.028,7.52E-06,-0.096
7.56E-06,-0.03,7.56E-06,-0.088
7.60E-06,-0.026,7.60E-06,-0.092
7.64E-06,-0.028,7.64E-06,-0.096
7.68E-06,-0.028,7.68E-06,-0.096
7.72E-06,-0.026,7.72E-06,-0.1
7.76E-06,-0.028,7.76E-06,-0.096
7.80E-06,-0.026,7.80E-06,-0.092
7.84E-06,-0.028,7.84E-06,-0.096
7.88E-06,-0.024,7.88E-06,-0.1
7.92E-06,-0.028,7.92E-06,-0.092
7.96E-06,-0.028,7.96E-06,-0.092
8.00E-06,-0.028,8.00E-06,-0.092
8.04E-06,-0.026,8.04E-06,-0.096
8.08E-06,-0.028,8.08E-06,-0.092
8.12E-06,-0.026,8.12E-06,-0.092
8.16E-06,-0.026,8.16E-06,-0.092
8.20E-06,-0.028,8.20E-06,-0.092
8.24E-06,-0.028,8.24E-06,-0.092
8.28E-06,-0.026,8.28E-06,-0.092
8.32E-06,-0.024,8.32E-06,-0.092
8.36E-06,-0.026,8.36E-06,-0.096
8.40E-06,-0.028,8.40E-06,-0.096
8.44E-06,-0.026,8.44E-06,-0.096
8.48E-06,-0.028,8.48E-06,-0.096
8.52E-06,-0.024,8.52E-06,-0.092
8.56E-06,-0.028,8.56E-06,-0.096
8.60E-06,-0.028,8.60E-06,-0.092
8.64E-06,-0.028,8.64E-06,-0.096
8.68E-06,-0.026,8.68E-06,-0.092
8.72E-06,-0.026,8.72E-06,-0.088
8.76E-06,-0.024,8.76E-06,-0.092
8.80E-06,-0.026,8.80E-06,-0.092
8.84E-06,-0.026,8.84E-06,-0.092
8.88E-06,-0.026,8.88E-06,-0.092
8.92E-06,-0.026,8.92E-06,-0.088
8.96E-06,-0.026,8.96E-06,-0.088
9.00E-06,-0.026,9.00E-06,-0.092
9.04E-06,-0.024,9.04E-06,-0.088
9.08E-06,-0.028,9.08E-06,-0.088
9.12E-06,-0.024,9.12E-06,-0.092
9.16E-06,-0.026,9.16E-06,-0.088
9.20E-06,-0.026,9.20E-06,-0.088
9.24E-06,-0.026,9.24E-06,-0.088
9.28E-06,-0.026,9.28E-06,-0.092
9.32E-06,-0.024,9.32E-06,-0.092
9.36E-06,-0.024,9.36E-06,-0.084
9.40E-06,-0.026,9.40E-06,-0.092
9.44E-06,-0.022,9.44E-06,-0.088
9.48E-06,-0.026,9.48E-06,-0.088
9.52E-06,-0.022,9.52E-06,-0.084
9.56E-06,-0.026,9.56E-06,-0.088
9.60E-06,-0.024,9.60E-06,-0.084
9.64E-06,-0.022,9.64E-06,-0.084
9.68E-06,-0.024,9.68E-06,-0.084
9.72E-06,-0.022,9.72E-06,-0.084
9.76E-06,-0.024,9.76E-06,-0.084
9.80E-06,-0.02,9.80E-06,-0.084
9.84E-06,-0.022,9.84E-06,-0.084
9.88E-06,-0.024,9.88E-06,-0.08
9.92E-06,-0.024,9.92E-06,-0.084
9.96E-06,-0.022,9.96E-06,-0.088
1.00E-05,-0.024,1.00E-05,-0.084
1.00E-05,-0.024,1.00E-05,-0.084
1.01E-05,-0.022,1.01E-05,-0.084
1.01E-05,-0.02,1.01E-05,-0.076
1.02E-05,-0.022,1.02E-05,-0.08
1.02E-05,-0.022,1.02E-05,-0.084
1.02E-05,-0.022,1.02E-05,-0.076
1.03E-05,-0.024,1.03E-05,-0.08
1.03E-05,-0.018,1.03E-05,-0.08
1.04E-05,-0.02,1.04E-05,-0.076
1.04E-05,-0.022,1.04E-05,-0.076
1.04E-05,-0.02,1.04E-05,-0.076
1.05E-05,-0.02,1.05E-05,-0.084
1.05E-05,-0.022,1.05E-05,-0.076
1.06E-05,-0.02,1.06E-05,-0.076
1.06E-05,-0.024,1.06E-05,-0.08
1.06E-05,-0.02,1.06E-05,-0.076
1.07E-05,-0.02,1.07E-05,-0.076
1.07E-05,-0.02,1.07E-05,-0.08
1.08E-05,-0.02,1.08E-05,-0.08
1.08E-05,-0.02,1.08E-05,-0.076
1.08E-05,-0.018,1.08E-05,-0.076
1.09E-05,-0.018,1.09E-05,-0.072
1.09E-05,-0.02,1.09E-05,-0.076
1.10E-05,-0.022,1.10E-05,-0.076
1.10E-05,-0.016,1.10E-05,-0.072
1.10E-05,-0.018,1.10E-05,-0.072
1.11E-05,-0.018,1.11E-05,-0.072
1.11E-05,-0.018,1.11E-05,-0.068
1.12E-05,-0.018,1.12E-05,-0.072
1.12E-05,-0.02,1.12E-05,-0.072
1.12E-05,-0.018,1.12E-05,-0.072
1.13E-05,-0.018,1.13E-05,-0.072
1.13E-05,-0.018,1.13E-05,-0.064
1.14E-05,-0.016,1.14E-05,-0.068
1.14E-05,-0.02,1.14E-05,-0.068
1.14E-05,-0.016,1.14E-05,-0.064
1.15E-05,-0.016,1.15E-05,-0.068
1.15E-05,-0.018,1.15E-05,-0.068
1.16E-05,-0.018,1.16E-05,-0.068
1.16E-05,-0.014,1.16E-05,-0.068
1.16E-05,-0.016,1.16E-05,-0.064
1.17E-05,-0.014,1.17E-05,-0.068
1.17E-05,-0.014,1.17E-05,-0.068
1.18E-05,-0.014,1.18E-05,-0.06
1.18E-05,-0.016,1.18E-05,-0.064
1.18E-05,-0.014,1.18E-05,-0.064
1.19E-05,-0.016,1.19E-05,-0.06
1.19E-05,-0.016,1.19E-05,-0.064
1.20E-05,-0.014,1.20E-05,-0.06
1.20E-05,-0.012,1.20E-05,-0.064
1.20E-05,-0.014,1.20E-05,-0.06
1.21E-05,-0.016,1.21E-05,-0.056
1.21E-05,-0.014,1.21E-05,-0.064
1.22E-05,-0.012,1.22E-05,-0.06
1.22E-05,-0.014,1.22E-05,-0.056
1.22E-05,-0.016,1.22E-05,-0.06
1.23E-05,-0.014,1.23E-05,-0.056
1.23E-05,-0.012,1.23E-05,-0.056
1.24E-05,-0.014,1.24E-05,-0.06
1.24E-05,-0.014,1.24E-05,-0.056
1.24E-05,-0.01,1.24E-05,-0.052
1.25E-05,-0.01,1.25E-05,-0.056
1.25E-05,-0.014,1.25E-05,-0.052
1.26E-05,-0.01,1.26E-05,-0.052
1.26E-05,-0.012,1.26E-05,-0.056
1.26E-05,-0.012,1.26E-05,-0.056
1.27E-05,-0.01,1.27E-05,-0.052
1.27E-05,-0.014,1.27E-05,-0.048
1.28E-05,-0.012,1.28E-05,-0.052
1.28E-05,-0.008,1.28E-05,-0.052
1.28E-05,-0.01,1.28E-05,-0.052
1.29E-05,-0.012,1.29E-05,-0.048
1.29E-05,-0.01,1.29E-05,-0.048
1.30E-05,-0.01,1.30E-05,-0.048
1.30E-05,-0.008,1.30E-05,-0.048
1.30E-05,-0.008,1.30E-05,-0.044
1.31E-05,-0.008,1.31E-05,-0.048
1.31E-05,-0.008,1.31E-05,-0.044
1.32E-05,-0.01,1.32E-05,-0.044
1.32E-05,-0.01,1.32E-05,-0.048
1.32E-05,-0.008,1.32E-05,-0.044
1.33E-05,-0.006,1.33E-05,-0.044
1.33E-05,-0.006,1.33E-05,-0.04
1.34E-05,-0.008,1.34E-05,-0.04
1.34E-05,-0.008,1.34E-05,-0.04
1.34E-05,-0.008,1.34E-05,-0.04
1.35E-05,-0.01,1.35E-05,-0.036
1.35E-05,-0.008,1.35E-05,-0.04
1.36E-05,-0.004,1.36E-05,-0.04
1.36E-05,-0.004,1.36E-05,-0.032
1.36E-05,-0.006,1.36E-05,-0.036
1.37E-05,-0.004,1.37E-05,-0.036
1.37E-05,-0.006,1.37E-05,-0.036
1.38E-05,-0.004,1.38E-05,-0.036
1.38E-05,-0.004,1.38E-05,-0.028
1.38E-05,-0.008,1.38E-05,-0.032
1.39E-05,-0.004,1.39E-05,-0.028
1.39E-05,-0.004,1.39E-05,-0.036
1.40E-05,-0.004,1.40E-05,-0.032
1.40E-05,-0.002,1.40E-05,-0.032
1.40E-05,-0.004,1.40E-05,-0.028
1.41E-05,-0.002,1.41E-05,-0.028
1.41E-05,-0.004,1.41E-05,-0.024
1.42E-05,-0.002,1.42E-05,-0.024
1.42E-05,-0.004,1.42E-05,-0.024
1.42E-05,-0.002,1.42E-05,-0.028
1.43E-05,-0.004,1.43E-05,-0.024
1.43E-05,-0.002,1.43E-05,-0.028
1.44E-05,-0.004,1.44E-05,-0.024
1.44E-05,-0.002,1.44E-05,-0.02
1.44E-05,-0.002,1.44E-05,-0.024
1.45E-05,0,1.45E-05,-0.024
1.45E-05,-0.002,1.45E-05,-0.016
1.46E-05,-0.004,1.46E-05,-0.02
1.46E-05,0,1.46E-05,-0.024
1.46E-05,0,1.46E-05,-0.02
1.47E-05,0.002,1.47E-05,-0.02
1.47E-05,-0.002,1.47E-05,-0.02
1.48E-05,0,1.48E-05,-0.016
1.48E-05,0,1.48E-05,-0.02
1.48E-05,0.002,1.48E-05,-0.02
1.49E-05,0,1.49E-05,-0.012
1.49E-05,0.004,1.49E-05,-0.016
1.50E-05,0.002,1.50E-05,-0.012
1.50E-05,0.002,1.50E-05,-0.016
1.50E-05,0.004,1.50E-05,-0.008
1.51E-05,0.002,1.51E-05,-0.012
1.51E-05,0.002,1.51E-05,-0.012
1.52E-05,0.004,1.52E-05,-0.012
1.52E-05,0.004,1.52E-05,-0.012
1.52E-05,0.006,1.52E-05,-0.012
1.53E-05,0.004,1.53E-05,-0.008
1.53E-05,0.004,1.53E-05,-0.008
1.54E-05,0.002,1.54E-05,-0.004
1.54E-05,0.004,1.54E-05,-0.004
1.54E-05,0.006,1.54E-05,-0.004
1.55E-05,0.006,1.55E-05,-0.004
1.55E-05,0.004,1.55E-05,-0.008
1.56E-05,0.004,1.56E-05,-0.004
1.56E-05,0.008,1.56E-05,-0.004
1.56E-05,0.004,1.56E-05,-0.004
1.57E-05,0.004,1.57E-05,-0.004
1.57E-05,0.008,1.57E-05,0.004
1.58E-05,0.006,1.58E-05,-0.004
1.58E-05,0.006,1.58E-05,-0.004
1.58E-05,0.006,1.58E-05,0
1.59E-05,0.008,1.59E-05,0.004
1.59E-05,0.006,1.59E-05,0.004
1.60E-05,0.006,1.60E-05,0.004
1.60E-05,0.01,1.60E-05,0.004
1.60E-05,0.008,1.60E-05,0.004
1.61E-05,0.008,1.61E-05,0.004
1.61E-05,0.01,1.61E-05,0.008
1.62E-05,0.008,1.62E-05,0.008
1.62E-05,0.006,1.62E-05,0.008
1.62E-05,0.008,1.62E-05,0.008
1.63E-05,0.008,1.63E-05,0.008
1.63E-05,0.008,1.63E-05,0.008
1.64E-05,0.006,1.64E-05,0.012
1.64E-05,0.012,1.64E-05,0.012
1.64E-05,0.012,1.64E-05,0.012
1.65E-05,0.01,1.65E-05,0.016
1.65E-05,0.01,1.65E-05,0.012
1.66E-05,0.01,1.66E-05,0.012
1.66E-05,0.014,1.66E-05,0.016
1.66E-05,0.012,1.66E-05,0.016
1.67E-05,0.01,1.67E-05,0.016
1.67E-05,0.01,1.67E-05,0.016
1.68E-05,0.012,1.68E-05,0.02
1.68E-05,0.012,1.68E-05,0.016
1.68E-05,0.01,1.68E-05,0.016
1.69E-05,0.012,1.69E-05,0.02
1.69E-05,0.014,1.69E-05,0.02
1.70E-05,0.012,1.70E-05,0.024
1.70E-05,0.012,1.70E-05,0.024
1.70E-05,0.014,1.70E-05,0.024
1.71E-05,0.014,1.71E-05,0.02
1.71E-05,0.012,1.71E-05,0.024
1.72E-05,0.014,1.72E-05,0.024
1.72E-05,0.014,1.72E-05,0.024
1.72E-05,0.016,1.72E-05,0.024
1.73E-05,0.016,1.73E-05,0.028
1.73E-05,0.016,1.73E-05,0.024
1.74E-05,0.016,1.74E-05,0.028
1.74E-05,0.014,1.74E-05,0.028
1.74E-05,0.016,1.74E-05,0.032
1.75E-05,0.016,1.75E-05,0.028
1.75E-05,0.016,1.75E-05,0.032
1.76E-05,0.018,1.76E-05,0.032
1.76E-05,0.018,1.76E-05,0.036
1.76E-05,0.016,1.76E-05,0.032
1.77E-05,0.018,1.77E-05,0.04
1.77E-05,0.016,1.77E-05,0.032
1.78E-05,0.018,1.78E-05,0.036
1.78E-05,0.02,1.78E-05,0.04
1.78E-05,0.018,1.78E-05,0.032
1.79E-05,0.018,1.79E-05,0.032
1.79E-05,0.018,1.79E-05,0.036
1.80E-05,0.018,1.80E-05,0.036
1.80E-05,0.02,1.80E-05,0.036
1.80E-05,0.018,1.80E-05,0.036
1.81E-05,0.018,1.81E-05,0.04
1.81E-05,0.02,1.81E-05,0.04
1.82E-05,0.018,1.82E-05,0.04
1.82E-05,0.02,1.82E-05,0.04
1.82E-05,0.022,1.82E-05,0.044
1.83E-05,0.022,1.83E-05,0.04
1.83E-05,0.02,1.83E-05,0.048
1.84E-05,0.02,1.84E-05,0.048
1.84E-05,0.022,1.84E-05,0.04
1.84E-05,0.02,1.84E-05,0.044
1.85E-05,0.022,1.85E-05,0.048
1.85E-05,0.02,1.85E-05,0.044
1.86E-05,0.02,1.86E-05,0.04
1.86E-05,0.02,1.86E-05,0.044
1.86E-05,0.022,1.86E-05,0.048
1.87E-05,0.022,1.87E-05,0.044
1.87E-05,0.022,1.87E-05,0.048
1.88E-05,0.024,1.88E-05,0.048
1.88E-05,0.022,1.88E-05,0.044
1.88E-05,0.024,1.88E-05,0.052
1.89E-05,0.022,1.89E-05,0.048
1.89E-05,0.022,1.89E-05,0.048
1.90E-05,0.02,1.90E-05,0.052
1.90E-05,0.024,1.90E-05,0.056
1.90E-05,0.022,1.90E-05,0.056
1.91E-05,0.024,1.91E-05,0.056
1.91E-05,0.022,1.91E-05,0.056
1.92E-05,0.024,1.92E-05,0.056
1.92E-05,0.024,1.92E-05,0.056
1.92E-05,0.024,1.92E-05,0.06
1.93E-05,0.026,1.93E-05,0.056
1.93E-05,0.024,1.93E-05,0.056
1.94E-05,0.026,1.94E-05,0.056
1.94E-05,0.024,1.94E-05,0.06
1.94E-05,0.028,1.94E-05,0.06
1.95E-05,0.024,1.95E-05,0.056
1.95E-05,0.026,1.95E-05,0.06
1.96E-05,0.026,1.96E-05,0.056
1.96E-05,0.028,1.96E-05,0.06
1.96E-05,0.024,1.96E-05,0.056
1.97E-05,0.026,1.97E-05,0.064
1.97E-05,0.028,1.97E-05,0.06
1.98E-05,0.026,1.98E-05,0.06
1.98E-05,0.024,1.98E-05,0.068
1.98E-05,0.028,1.98E-05,0.064
1.99E-05,0.028,1.99E-05,0.06
1.99E-05,0.028,1.99E-05,0.06
2.00E-05,0.028,2.00E-05,0.064
2.00E-05,0.028,2.00E-05,0.064
2.00E-05,0.028,2.00E-05,0.064
2.01E-05,0.028,2.01E-05,0.068
2.01E-05,0.028,2.01E-05,0.064
2.02E-05,0.028,2.02E-05,0.068
2.02E-05,0.026,2.02E-05,0.068
2.02E-05,0.026,2.02E-05,0.064
2.03E-05,0.028,2.03E-05,0.064
2.03E-05,0.03,2.03E-05,0.068
2.04E-05,0.028,2.04E-05,0.068
2.04E-05,0.028,2.04E-05,0.068
2.04E-05,0.026,2.04E-05,0.072
2.05E-05,0.028,2.05E-05,0.064
2.05E-05,0.03,2.05E-05,0.068
2.06E-05,0.03,2.06E-05,0.072
2.06E-05,0.03,2.06E-05,0.076
2.06E-05,0.032,2.06E-05,0.072
2.07E-05,0.03,2.07E-05,0.072
2.07E-05,0.032,2.07E-05,0.072
2.08E-05,0.03,2.08E-05,0.072
2.08E-05,0.03,2.08E-05,0.076
2.08E-05,0.032,2.08E-05,0.08
2.09E-05,0.03,2.09E-05,0.072
2.09E-05,0.03,2.09E-05,0.076
2.10E-05,0.032,2.10E-05,0.08
2.10E-05,0.032,2.10E-05,0.076
2.10E-05,0.03,2.10E-05,0.076
2.11E-05,0.03,2.11E-05,0.072
2.11E-05,0.03,2.11E-05,0.076
2.12E-05,0.03,2.12E-05,0.076
2.12E-05,0.032,2.12E-05,0.08
2.12E-05,0.032,2.12E-05,0.08
2.13E-05,0.028,2.13E-05,0.08
2.13E-05,0.03,2.13E-05,0.08
2.14E-05,0.03,2.14E-05,0.08
2.14E-05,0.03,2.14E-05,0.08
2.14E-05,0.032,2.14E-05,0.076
2.15E-05,0.03,2.15E-05,0.084
2.15E-05,0.032,2.15E-05,0.08
2.16E-05,0.03,2.16E-05,0.084
2.16E-05,0.032,2.16E-05,0.08
2.16E-05,0.032,2.16E-05,0.08
2.17E-05,0.032,2.17E-05,0.076
2.17E-05,0.034,2.17E-05,0.084
2.18E-05,0.03,2.18E-05,0.088
2.18E-05,0.032,2.18E-05,0.08
2.18E-05,0.032,2.18E-05,0.08
2.19E-05,0.032,2.19E-05,0.084
2.19E-05,0.032,2.19E-05,0.08
2.20E-05,0.034,2.20E-05,0.084
2.20E-05,0.034,2.20E-05,0.08
2.20E-05,0.032,2.20E-05,0.088
2.21E-05,0.034,2.21E-05,0.084
2.21E-05,0.034,2.21E-05,0.088
2.22E-05,0.032,2.22E-05,0.084
2.22E-05,0.034,2.22E-05,0.084
2.22E-05,0.034,2.22E-05,0.084
2.23E-05,0.034,2.23E-05,0.088
2.23E-05,0.036,2.23E-05,0.092
2.24E-05,0.034,2.24E-05,0.084
2.24E-05,0.036,2.24E-05,0.08
2.24E-05,0.032,2.24E-05,0.088
2.25E-05,0.032,2.25E-05,0.084
2.25E-05,0.032,2.25E-05,0.084
2.26E-05,0.034,2.26E-05,0.084
2.26E-05,0.034,2.26E-05,0.084
2.26E-05,0.034,2.26E-05,0.084
2.27E-05,0.034,2.27E-05,0.092
2.27E-05,0.036,2.27E-05,0.088
2.28E-05,0.034,2.28E-05,0.08
2.28E-05,0.034,2.28E-05,0.084
2.28E-05,0.034,2.28E-05,0.084
2.29E-05,0.032,2.29E-05,0.088
2.29E-05,0.034,2.29E-05,0.088
2.30E-05,0.034,2.30E-05,0.088
2.30E-05,0.032,2.30E-05,0.084
2.30E-05,0.034,2.30E-05,0.092
2.31E-05,0.034,2.31E-05,0.088
2.31E-05,0.032,2.31E-05,0.084
2.32E-05,0.034,2.32E-05,0.084
2.32E-05,0.034,2.32E-05,0.092
2.32E-05,0.034,2.32E-05,0.088
2.33E-05,0.034,2.33E-05,0.084
