v_in,v_out,f,dT
2.08,2.08,5,0
2.08,2.08,10,0
2.08,2.08,40,100e-6
2.08,2.04,250,120e-6
2.08,2.04,500,80e-6
2.08,1.92,1000,60e-6
2.16,1.84,1500,56e-6
2.16,1.6,2000,56e-6
2.16,1.22,3400,44e-6
2.16,0.96,5000,34e-6
2.16,0.6,10000,21e-6
2.16,0.368,15000,15e-6
2.16,0.22,25000,9.4e-6
2.16,0.114,50000,4.8e-6
2.16,0.062,100000,2.4e-6
2.16,0.0256,250000,920e-9
2.16,0.014,500000,440e-9
2.16,0.011,750000,250e-9
2.16,9.6e-3,1000000,160e-9
